Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Sampling Start,Sampling End,State,District,Location,Geo_Type,Resolution,Lat_1,Lon_1,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Lat_9,Lon_9,Lat_10,Lon_10,Lat_11,Lon_11,Lat_12,Lon_12,Sources,,,,,,,,,,
210,41,56,Population dynamics of Anopheles culicifacies and malaria in the tribal area of Central India,Singh,1999,1993,1993,Madhya Pradesh,Mandla,Dungaria,Single,Wide Area,22.4677,80.5487,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Mandla/Bichhiya/Dungaria,,,,,,,,,,
221,42,57,"Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria ln forested hilly and deforested riverine ecosystems in northern Orissa, India",Nanda,2000,1992,1992,Orissa,Sundargarh,Birkera (couldn't locate Manko),Single,Point,22.133,84.799,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
221,42,58,"Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria ln forested hilly and deforested riverine ecosystems in northern Orissa, India",Nanda,2000,1992,1992,Orissa,Sundargarh,Jamsera,Single,Point,22.233,84.811,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
221,42,59,"Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria ln forested hilly and deforested riverine ecosystems in northern Orissa, India",Nanda,2000,1992,1992,Orissa,Sundargarh,Jabaghat,Single,Point,22.233,84.811,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
225,43,60,"Preliminary observations on man-mosquito contact in Soraipung village of district Dibrugarh, Assam (India).",Prakash,2000,1995,1996,Assam,Dibrugarh,Gelipung,Single,Wide Area,27.3352,95.4125,,,,,,,,,,,,,,,,,,,,,,,"http://apfbcs.nic.in/microplans/Part-1/DPWS/DIGBOI/english/Gelipung.pdf implies that Gelipung EDC contains Gelipung and Soraipung, so whilst not 100% accurate, is likely to be accurate within a Wide Area/Polygon Small",,,,,,,,,,
226,44,61,Anopheline ecology and malaria transmission at a new irrigation project area (Bargi Dam) in Jabalpur (Central India).,Singh,2000,1993,1995,Madhya Pradesh,Jabalpur,Various,Polygon,Constructed,23.0792,79.7399,23.0878,79.7404,23.0894,79.7288,23.0742,79.7321,23.0792,79.7097,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Dabhola,+Madhya+Pradesh+482003,+India/@23.0792876,79.7399335,14z/data=!4m5!3m4!1s0x3981b56eb80bc28b:0xf559f796e6db863a!8m2!3d23.0767484!4d79.7554089","https://www.google.co.uk/maps/place/Bichuwa,+Madhya+Pradesh+482003,+India/@23.0878494,79.7404701,15z/data=!3m1!4b1!4m13!1m7!3m6!1s0x3981b56eb80bc28b:0xf559f796e6db863a!2sDabhola,+Madhya+Pradesh+482003,+India!3b1!8m2!3d23.0767484!4d79.7554089!3m4!1s0x3981b57a4668ee83:0x40cea5270474b080!8m2!3d23.087978!4d79.7469985","https://www.google.co.uk/maps/place/Nunpur,+Madhya+Pradesh+482003,+India/@23.0894244,79.7288102,15z/data=!3m1!4b1!4m13!1m7!3m6!1s0x3981b56eb80bc28b:0xf559f796e6db863a!2sDabhola,+Madhya+Pradesh+482003,+India!3b1!8m2!3d23.0767484!4d79.7554089!3m4!1s0x3981ca818486844b:0xd50cfe268261bc14!8m2!3d23.091753!4d79.7371817","https://www.google.co.uk/maps/place/Chhapra,+Madhya+Pradesh+482003,+India/@23.0742295,79.7321252,15z/data=!3m1!4b1!4m13!1m7!3m6!1s0x3981b56eb80bc28b:0xf559f796e6db863a!2sDabhola,+Madhya+Pradesh+482003,+India!3b1!8m2!3d23.0767484!4d79.7554089!3m4!1s0x3981b560331c3d91:0x28b5059a98c13413!8m2!3d23.0756504!4d79.7385871","https://www.google.co.uk/maps/place/Bijori,+Madhya+Pradesh+482003,+India/@23.0792184,79.7097404,14z/data=!3m1!4b1!4m13!1m7!3m6!1s0x3981b56eb80bc28b:0xf559f796e6db863a!2sDabhola,+Madhya+Pradesh+482003,+India!3b1!8m2!3d23.0767484!4d79.7554089!3m4!1s0x3981ca90f51a5aa3:0xe66ee362d8b1d34b!8m2!3d23.0792432!4d79.7259647",,,,,,
226,44,62,Anopheline ecology and malaria transmission at a new irrigation project area (Bargi Dam) in Jabalpur (Central India).,Singh,2000,1993,1995,Madhya Pradesh,Jabalpur,Various,Polygon,Constructed,23.0339,79.5461,23.0339,79.5536,23.0121,79.5571,23.0274,79.5489,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Poniya,+Madhya+Pradesh+487118,+India/@23.0339687,79.5461524,14z/data=!4m13!1m7!3m6!1s0x398032b26d18bac5:0x5fbcf11f4c906ce4!2sManakwara,+Madhya+Pradesh+487118,+India!3b1!8m2!3d23.0339461!4d79.5743915!3m4!1s0x39802cca34ca158d:0x6ef67313b9bed612!8m2!3d23.0383401!4d79.5519161","https://www.google.co.uk/maps/place/Manakwara,+Madhya+Pradesh+487118,+India/@23.0339508,79.5536749,14.75z/data=!4m5!3m4!1s0x398032b26d18bac5:0x5fbcf11f4c906ce4!8m2!3d23.0339461!4d79.5743915","https://www.google.co.uk/maps/place/Pipariya,+Madhya+Pradesh,+India/@23.0121937,79.5571899,14z/data=!4m13!1m7!3m6!1s0x398032b26d18bac5:0x5fbcf11f4c906ce4!2sManakwara,+Madhya+Pradesh+487118,+India!3b1!8m2!3d23.0339461!4d79.5743915!3m4!1s0x39802cfbabcef885:0x95a0d63efe1966d5!8m2!3d23.0162866!4d79.574393","https://www.google.co.uk/maps/place/Dabkiya,+Madhya+Pradesh+487118,+India/@23.0274123,79.5489218,14.5z/data=!4m13!1m7!3m6!1s0x398032b26d18bac5:0x5fbcf11f4c906ce4!2sManakwara,+Madhya+Pradesh+487118,+India!3b1!8m2!3d23.0339461!4d79.5743915!3m4!1s0x398032a43bd6ab57:0xeece0c5991106075!8m2!3d23.0229963!4d79.5645601",,,,,,,
236,45,63,Concurrent control of mosquitoes and domestic pests by use of deltamethrin-treated curtains in the New Delhi municipal committee India,Ansari,2001,1994,1996,Delhi,Delhi,Delhi,Single,Point,28.5827,77.1793,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Block+F,+North+West+Moti+Bagh,+New+Delhi,+Delhi+110021,+India/@28.5844657,77.1761168,17z/data=!3m1!4b1!4m5!3m4!1s0x390d1d71ef455137:0xcab6de159709eb61!8m2!3d28.5844777!4d77.1779925",,,,,,,,,,
237,46,64,Impact of urbanization on bionomics of An. culicifacies and An. stephensi in Delhi.,Batra,2001,1989,1991,Delhi,Delhi,Various,Polygon,Constructed,28.648,77.243,28.578,77.255,28.631,77.319,28.532,77.303,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
237,46,65,Impact of urbanization on bionomics of An. culicifacies and An. stephensi in Delhi.,Batra,2001,1989,1991,Delhi,Delhi,Various,Polygon,Constructed,28.586,77.205,28.656,77.144,28.581,77.219,28.559,77.181,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
238,47,66,Estimation of vectorial capacity of Anopheles dirus (Diptera: Culicidae) in a forest fringed village of Assam (India),Prakash,2001,1999,2000,Assam,Dibrugarh,Gelipung,Single,Wide Area,27.3352,95.4125,,,,,,,,,,,,,,,,,,,,,,,"http://apfbcs.nic.in/microplans/Part-1/DPWS/DIGBOI/english/Gelipung.pdf implies that Gelipung EDC contains Gelipung and Soraipung, so whilst not 100% accurate, is likely to be accurate within a Wide Area/Polygon Small",,,,,,,,,,
242,48,67,"Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India)",Tyagi,2001,1993,1994,Rajasthan,Jaisalmer,Irrigated Villages- Could only id 1 of the 2 places (Awai) - Madassar comes up but doesn't match the map so have ignored it,Single,Point,27.514,71.8148,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Awaya,+Rajasthan+345028,+India/@27.5140896,71.8148871,14z/data=!4m13!1m7!3m6!1s0x394745a4a705144f:0xd1e5f9185644b1c7!2sMadasar,+Rajasthan+345026,+India!3b1!8m2!3d26.7575809!4d71.4418101!3m4!1s0x3938a912e111f761:0xb712fc85257c573f!8m2!3d27.5161883!4d71.8305016",,,,,,,,,,
242,48,68,"Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India)",Tyagi,2001,1993,1994,Rajasthan,Jaisalmer,Various,2_Singles,Wide Area,27.4473,72.1145,27.3448,71.9783,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Jodhpur/Bap/Kanasar,"https://www.google.com/maps/place/Khetusar,+Rajasthan+342301,+India/@27.3448749,71.9783848,13z/data=!4m13!1m7!3m6!1s0x3940ad062ab6e179:0x5f93a93dc0a18e78!2sKhetusar,+Rajasthan+342301,+India!3b1!8m2!3d27.3325799!4d71.9949616!3m4!1s0x3940ad062ab6e179:0x5f93a93dc0a18e78!8m2!3d27.3325799!4d71.9949616?hl=en-GB",,,,,,,,,
260,49,69,House-scale evaluation of bifenthrin indoor residual spraying for malaria vector control in India,Yadav,2003,1999,2000,Gujarat,Kheda,Various,Polygon,Constructed,22.6624,73.254,22.703,73.2352,22.7114,73.1398,22.7377,73.2352,22.7377,73.2352,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kheda/Thasra/Raniya,http://www.onefivenine.com/india/villages/Kheda/Thasra/Bhadrasa,https://etrace.in/pincode/gujarat/kheda/thasra/aklach/,http://www.onefivenine.com/india/villages/Kheda/Thasra/Umba,http://www.onefivenine.com/india/villages/Kheda/Thasra/Vamali,,,,,,
262,50,70,"Impact of alphacypermethrin treated bed nets on malaria in villages of Malkangiri district, Orissa, India",Sahu,2003,1998,2000,Orissa,Malkangiri,Various,2_Singles,Small Polygon,18.38,82.186,18.283,81.982,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
264,51,71,Malaria control in a forest camp in an oil exploration area of upper Assam,Prakash,2003,2000,2001,Assam,Dibrugarh,Tengakhat PHC,Single,Small Polygon,27.384,95.166,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
270,52,72,"Epidemiology of malaria transmission and development of natural immunity in a malaria-endemic village, San Dulakudar, in Orissa State, India",Sharma,2004,2000,2000,Orissa,Sundargarh,San Dulakudur village,Single,Point,22.1667,84.7833,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0001706X08001599,,,,,,,,,,
273,53,73,"Physiographic and entomologic risk factors of malaria in Assam, India",Dev,2004,1988,1988,Assam,Various,Sonapur PHC,Single,Small Polygon,26.1213,91.9779,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
281,54,74,Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera : Culicidae) in the National Mosquito Surveillance Programme in India,Sadanandane,2004,1994,1995,Orissa,Koraput,Various,2_Singles,Small Polygon,19.0941,82.7789,18.8144,82.8411,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Koraput/Dasamantapur/Balighat,http://www.onefivenine.com/india/villages/Koraput/Dasamantapur/Malitola,,,,,,,,,
288,55,75,"Changing scenario of malaria in central India, the replacement of Plasmodium vivax by Plasmodium falciparum (1986-2000)",Singh,2004,1986,2000,Madhya Pradesh,Mandla,Unsure,Single,Small Polygon,22.591,80.375,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
301,56,76,"DDT indoor residual spray, still an effective tool to control Anopheles fluviatilis transmitted Plasmodium falciparum malaria in India",Gunasekaran,2005,2001,2002,Orissa,Malkangiri,Khairput PHC,Single,Wide Area,18.4859,82.2302,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Khairaput,+Odisha,+India/@18.4859381,82.2346509,16z/data=!3m1!4b1!4m12!1m6!3m5!1s0x3a3a78053c83043d:0x78bfdd6bb87f90de!2sKhairput+Fire+Station!8m2!3d18.4677709!4d82.2246985!3m4!1s0x3a3a783ef438b2e5:0xcb7b63e78f3bcdcf!8m2!3d18.4865894!4d82.2379553",,,,,,,,,,
301,56,77,"DDT indoor residual spray, still an effective tool to control Anopheles fluviatilis transmitted Plasmodium falciparum malaria in India",Gunasekaran,2005,2001,2002,Orissa,Koraput,Boipariguda PHC,Single,Wide Area,18.7527,82.4182,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Boipariguda,+Odisha+764043,+India/@18.7527071,82.4182104,15z/data=!4m5!3m4!1s0x3a3a8f2a7c0a4e67:0xb2f0dcb7778d1cf!8m2!3d18.751105!4d82.4332952",,,,,,,,,,
319,57,78,Relationship between Anopheles fluviatilis & A. stephensi (Diptera: Culicidae) catches & the prevalence of malaria cases at Kalsi area in Dehradun district (Uttaranchal).,Pemola,2006,2000,2002,Uttaranchal,Dehradun,Various,Polygon,Constructed,30.6587,77.8953,30.6415,77.9081,30.6274,77.9238,30.6293,77.9595,30.6157,77.981,30.5999,77.9481,30.5964,77.9867,,,,,,,,,,,http://www.onefivenine.com/india/villag/Dehradun/Kalsi#subVillages,,,,,,,,,,
332,58,79,"Seasonal prevalence of malaria vectors and its relationship with malaria transmission in three physiographic zones in Uttaranchal State, India.",Shukla,2007,1998,1999,Uttaranchal,Nainital,Kumaon region,Single,Wide Area,29.3353,79.5542,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Nainital/Bhimtal/Mehra-Gaon,,,,,,,,,,
332,58,80,"Seasonal prevalence of malaria vectors and its relationship with malaria transmission in three physiographic zones in Uttaranchal State, India.",Shukla,2007,1998,1999,Uttaranchal,Nainital,Kumaon region,Single,Wide Area,29.2332,79.5589,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Nainital/Haldwani/Khera,,,,,,,,,,
332,58,81,"Seasonal prevalence of malaria vectors and its relationship with malaria transmission in three physiographic zones in Uttaranchal State, India.",Shukla,2007,1998,1999,Uttaranchal,Nainital,Kumaon region,Single,Wide Area,29.0286,79.3888,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/village.dont?method=displayVillage&villageId=226016,,,,,,,,,,
342,59,82,"Impact of lmabdacyhalothrin capsule suspension treated bed nets on malaria in tribal villages of Malkangiri district, Orissa, India",Sahu,2008,2000,2003,Orissa,Malkangiri,Various,Polygon,Constructed,18.519,82.2545,18.4676,82.219,18.2648,82.0991,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
347,60,83,"Malaria persistence in Kumaon foothills of District Nainital, Uttarakhand, India",Shukla,2008,2002,2004,Uttarakhand,Nainital,Various,Polygon,Constructed,29.1205,79.6993,29.1296,79.7049,29.1313,79.7,29.1382,79.6802,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Nainital/Haldwani/Talla-Pachaunia,http://www.onefivenine.com/india/villages/Nainital/Haldwani/Dubela-Bera,http://www.onefivenine.com/india/villages/Nainital/Haldwani/Lakhanmandi-Khola-Bazar,http://www.onefivenine.com/india/villages/Nainital/Haldwani/Talla-Pachaunia,,,,,,,
349,61,84,"Dynamics of Anopheles culicifacies-transmitted malaria in the absence of effective zooprophylaxis in a riverine settlement in Gujarat, India",Bhatt,2008,1991,1992,Gujarat,Kheda,Galteshwar village,Single,Wide Area,22.7864,73.2853,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kheda/Thasra/Sarnal,,,,,,,,,,
350,62,85,Prevalence of mosquito species in Chhura block of Raipur district of Chhattisgarh state.,Parmanand,2008,2002,2004,Chhattisgarh,Raipur,Chhura block,Polygon,Constructed,20.7647,82.2261,20.8108,82.208,20.7442,82.2094,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Tengnabasa,+Chhattisgarh+493996,+India/@20.7647491,82.2261204,14z/data=!4m5!3m4!1s0x3a25f85b3ec6c60b:0xd33bff9c0caee441!8m2!3d20.7665844!4d82.2447483",https://www.mapsofindia.com/villages/chhattisgarh/raipur/bindranawagarh/chhura.html,http://www.onefivenine.com/india/villages/Raipur/Chhurra/Kharkhara,,,,,,,,
365,63,86,"Indoor resting density pattern of mosquito species in Fingeswar block of Raipur district in Chhattisgarh, central India.",Parmanand Baghel,2009,2003,2004,Chhattisgarh,Raipur,Fingeswar block,Single,Large Polygon,20.9708,82.0297,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
366,64,87,"Bionomics of Anopheles minimus and An. fluviatilis (Diptera: Culicidae) in East-Central India, Endemic for falciparum Malaria: Human Landing Rates, Host Feeding, and Parity",Sekhar,2009,2006,2007,Orissa,Keonjhar,Baunspal PHC,2_Singles,Wide Area,21.6304,85.4053,21.5864,85.7836,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kendujhar/Bansapal/Mamulaposi,Used village listed in paper and inputted in geonames. #1 from that search: http://www.geonames.org/advanced-search.html?q=puradihi&country=IN&featureClass=&continentCode=&fuzzy=0.6,,,,,,,,,
368,65,88,"Field evaluation of Olyset nets: a long-lasting insecticidal net against malaria vectors Anopheles culicifacies and Anopheles fluviatilis in a hyperendemic tribal area of Orissa, India. ",Sharma,2009,2005,2007,Orissa,Sundargarh,Bisra CHC,Single,Large Polygon,22.266,84.983,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
369,66,89,Impact of etofenprox (Vectron 20 WP) indoor residual spray on malaria transmission. ,Sreehari,2009,2004,2005,Uttar Pradesh,Gautam Budh Nagar,Dadri PHC,2_Singles,Wide Area,28.5274,77.6099,28.5927,77.5934,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Gautam-Buddha-Nagar/Dadri/Anandpur,http://www.onefivenine.com/india/villages/Gautam-Buddha-Nagar/Dadri/Patadi,,,,,,,,,
383,67,90,"Diversity and seasonal densities of vector anophelines in relation to forest fringe malaria in district Sonitpur, Assam (India).",Das,2011,2004,2005,Assam,Sonitput,"Bengenajuli, Sapairaumari Pathar and Nigam villages",2_Singles,Wide Area,26.8725,92.5507,26.9459,93.7082,,,,,,,,,,,,,,,,,,,,,https://www.mapsofindia.com/villages/assam/sonitpur/dhekiajuli/bengana-juli-gaon.html,https://www.mapsofindia.com/villages/assam/sonitpur/gohpur/nigam.html,,,,,,,,,
384,68,91,Seasonal prevalence & resting behaviour of Anopheles minimus Theobald & An. fluviatilis James (Diptera: Culicidae) in east-central India,Sahu,2011,2005,2007,Orissa,Keonjhar,Baunspal PHC,Polygon,Constructed,21.6304,85.4053,21.5554,85.4672,21.6719,85.4852,21.5495,85.5101,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kendujhar/Bansapal/Mamulaposi,http://www.onefivenine.com/india/villages/Kendujhar/Bansapal/Baitarani,http://www.onefivenine.com/india/villages/Kendujhar/Bansapal/Nitigotha,"https://www.google.com/maps/place/Bayakumutia,+Odisha+758018,+India/@21.5495108,85.5101788,875m/data=!3m1!1e3!4m5!3m4!1s0x3a1f1b8525e24c2d:0x124eea00f34175f1!8m2!3d21.548467!4d85.5103665?hl=en-GB",,,,,,,
411,69,92,"Altitude, temperature, and malaria vectors in Nainital and Udham Singh Nagar districts of Uttarakhand, India: An evidence-based study",Dhiman,2013,2010,2011,Uttarakhand,Nainital,Bhorsa,Single,Point,29.3353,79.5542,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Nainital/Bhimtal/Bhorsa,,,,,,,,,,
411,69,93,"Altitude, temperature, and malaria vectors in Nainital and Udham Singh Nagar districts of Uttarakhand, India: An evidence-based study",Dhiman,2013,2010,2011,Uttarakhand,Nainital,Raikhal Khatta,Single,Point,29.0692,79.6502,,,,,,,,,,,,,,,,,,,,,,,https://www.jstage.jst.go.jp/article/yoken/69/2/69_JJID.2014.549/_pdf,,,,,,,,,,
411,69,94,"Altitude, temperature, and malaria vectors in Nainital and Udham Singh Nagar districts of Uttarakhand, India: An evidence-based study",Dhiman,2013,2010,2011,Uttarakhand,Udham Singh Nagar,Kela-Khera,Single,Wide Area,29.0861,79.1746,,,,,,,,,,,,,,,,,,,,,,,https://www.mapsofindia.com/villages/uttarakhand/udham-singh-nagar-/kashipur/kela-khera.html,,,,,,,,,,
413,70,95,"Establishment of a focus on Anopheles fluviatilis, an important malaria vector near the National Thermal Power Corporation Project in Dadri CHC area in District Gautam Budh Nagar, Uttar Pradesh, India: A case study",Mittal,2013,2009,2012,Uttar Pradesh,Gautam Budh Nagar,Dadri PHC,Polygon,Constructed,28.3533,77.3536,28.3416,77.3713,28.3334,77.3731,28.3149,77.3732,28.3139,77.3635,28.3059,77.3821,28.3103,77.3536,28.3055,77.3643,28.2941,77.3452,28.2922,77.3536,28.2857,77.3455,,,Google Maps with Village Names,,,,,,,,,,
428,71,96,"Estimation of vectorial capacity of Anopheles minimus Theobald & An. fluviatilis James (Diptera: Culicidae) in a malaria endemic area of Odisha State, India",Gunasekaran,2014,2006,2007,Orissa,Keonjhar,Baunspal PHC,2_Singles,Wide Area,21.6304,85.4053,21.5864,85.7836,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kendujhar/Bansapal/Mamulaposi, Used village listed in paper and inputted in geonames. #1 from that search: http://www.geonames.org/advanced-search.html?q=puradihi&country=IN&featureClass=&continentCode=&fuzzy=0.6,,,,,,,,,
430,72,97,"A three year study on distribution and ecology of Anophelines in Thenzawl, Mizoram, India",Zomuanpuli,2014,2009,2011,Mizoram,Serchhip ,Unsure,Polygon,Constructed,23.171321,92.465058,23.171227,92.465565,23.171001,92.464935,23.165198,92.464964,23.165198,92.462901,23.170102,92.462886,23.162819,92.46192,23.172677,92.461988,23.165393,92.460442,23.171033,92.46154,,,,,Paper ,,,,,,,,,,
441,73,98,"Relative Abundance and Plasmodium Infection Rates of Malaria Vectors in and around Jabalpur, a Malaria Endemic Region in Madhya Pradesh State, Central India",Singh,2015,2006,2010,Madhya Pradesh,Jabalpur,Bargi/Pashora PHCs,Polygon,Constructed,23.0449,79.8324,22.9908,79.8156,22.9664,79.894,23.5475,80.0926,23.4653,79.9766,23.5435,80.2154,23.4653,79.9766,,,,,,,,,,,http://www.onefivenine.com/india/villages/Jabalpur/Jabalpur/Mukanwara,http://www.onefivenine.com/india/villages/Jabalpur/Jabalpur/Rengajhori,http://www.onefivenine.com/india/villages/Jabalpur/Jabalpur/Para,https://www.mapsofindia.com/villages/madhya-pradesh/jabalpur/sihora/gauraha-bhitauni.html,http://www.onefivenine.com/india/villages/Jabalpur/Majhouli/Paherua,https://www.mapsofindia.com/villages/madhya-pradesh/jabalpur/sihora/khalari.html,http://www.onefivenine.com/india/villages/Damoh/Tendukheda/Hardua,,,,
445,74,99,"Anopheline mosquitoes in District Ramgarh (Jharkhand), India",Pandey,2015,2012,2012,Jharkland,Ramgarh,Sagrampur,Single,Point,23.5103,85.7865,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Sagrampur,+Jharkhand+829110,+India/@23.5103503,85.7865202,13z/data=!4m5!3m4!1s0x39f44f7ebd138e5d:0xda5f3557caa24809!8m2!3d23.5105532!4d85.8025373",,,,,,,,,,
445,74,100,"Anopheline mosquitoes in District Ramgarh (Jharkhand), India",Pandey,2015,2012,2012,Jharkland,Ramgarh,Maganpur,Single,Point,23.5649,85.7807,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Ramgarh/Gola/Maganpur,,,,,,,,,,
445,74,101,"Anopheline mosquitoes in District Ramgarh (Jharkhand), India",Pandey,2015,2012,2012,Jharkland,Ramgarh,Ganrke,Single,Point,23.566,85.5235,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Ganrke,+Jharkhand,+India/@23.5660839,85.5235254,14z/data=!3m1!4b1!4m5!3m4!1s0x39f4f6e78473acd3:0x51f02cdc4cd17f0d!8m2!3d23.5628446!4d85.5457689",,,,,,,,,,
445,74,102,"Anopheline mosquitoes in District Ramgarh (Jharkhand), India",Pandey,2015,2012,2012,Jharkland,Ramgarh,Harhad Kander,Single,Point,23.5198,85.5873,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Harhad+Kander,+Jharkhand,+India/data=!4m2!3m1!1s0x39f45807003194df:0x389c5a5a89138f80?sa=X&ved=2ahUKEwj23pHigYbdAhUsxoUKHS3BAE0Q8gEwAHoECAAQAQ",,,,,,,,,,
456,75,103,Anopheles subpictus carry human malaria parasites in an urban area of Western India and may facilitate perennial malaria transmission,Kumar,2016,2013,2015,Goa,Various,Various,Polygon,Constructed,15.4909,73.8278,15.5145,73.7684,15.5377,73.8316,15.2832,73.9862,,,,,,,,,,,,,,,,,Email corespondence with authors,,,,,,,,,,
457,76,104,"Biology, distribution and control of Anopheles (Cellia) minimus in the context of malaria transmission in northeastern India",Dev,2016,1989,1991,Assam,Kamrup,Dimoria block,Single,Small Polygon,26.128,91.947,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villag/Kamrup-Metro/Dimoria,,,,,,,,,,
469,77,105,"Resting and feeding preferences of Anopheles stephensi in an urban setting, perennial for malaria",Thomas,2017,2014,2014,Tamil Nadu,Chennai,Chennai,Single,Point,13.0002,80.2668,,,,,,,,,,,,,,,,,,,,,,,Paper ,,,,,,,,,,
471,78,106,"Malaria epidemiology in an area of stable transmission in tribal population of Jharkhand, India",Das,2017,2014,2016,Jharkland,Ranchi,Dumargarhi village,Single,Point,23.3525,85.3935,,,,,,,,,,,,,,,,,,,,,,,Paper ,,,,,,,,,,
